raf,mek,plc,pip2,erk,akt,pka,pkc,p38,jnk,Class
23.5,18.6,4.91,2,23.5,66.1,2187,19.5,31.1,6.38,0
57.3,28.9,1.01,5.52,19.5,34.3,215,3,16.1,68.5,0
61,19.6,2.74,1.06,12.4,26.9,300,4.57,10.4,69.8,0
38.9,17.9,2,3.19,4.53,28.1,685,27.6,56.2,21.5,1
97.3,47,1,2.15,38.2,137,2017,17.8,37.2,22.7,1
118,104,16.8,2.13,27.6,38.9,403,30,51.9,17.5,0
53.3,28.9,4.45,3.43,9.06,21.7,470,13.2,27.6,8.2,1
445,89.8,1.01,3.62,12.1,34.6,931,22.3,45.3,11,0
38.2,15.4,6.1,3.68,10.5,31.3,604,32.8,85.1,27.1,1
56.7,25.9,1.83,3.96,13.5,26.2,698,22.3,53.8,4.26,1
75,54.2,11.2,2.09,17.3,34.6,519,5.78,37.5,154,0
19.6,27.4,5.88,1,42.6,89.8,1275,40,93.1,51.9,1
59.4,30.5,4.7,1.53,29.2,75.7,267,15,24.4,4.57,0
72.3,15.1,7.43,5.83,20.2,33.7,302,34.9,73.7,35.2,1
49.6,25,3.85,1.1,4.26,6.98,181,3.89,20.9,90.6,0
85.8,37.5,1,1.01,45.7,70.4,225,28.9,73,50,0
46.6,17.3,6.98,1.18,117,223,528,25.7,36.8,29.7,0
67.9,35.5,5.47,1.89,18.1,131,129,19.1,47.4,18.9,0
28.9,22.9,1.31,1,11.8,30.8,496,14.3,37.2,9.56,0
96.5,60.4,1.76,1.14,31.3,158,1084,36.2,67.3,33.1,0
77.7,26.4,2.46,5,46.6,65.5,292,15.4,42.2,22.1,0
40.7,19.1,1.55,3.96,27.9,46.1,281,23.7,30.8,27.4,0
73,43.7,3.59,1,131,231,1186,9.14,18.1,11.7,1
37.9,21.3,5.28,1.01,37.2,56.2,292,3.46,9.82,59.9,1
88.2,45.3,11.1,1,37.5,75,1186,37.5,64.4,14.9,0
15.4,23.7,4.91,1,34.3,62.6,1778,19.3,51.4,21.9,0
72.3,50,5.28,1.01,34.3,90.6,1322,33.4,65.5,27.6,1
85.1,23.5,8.74,1.01,8.28,23.3,717,4.18,9.73,4.14,1
18.3,14.2,3.85,7.99,50.9,105,1009,37.9,56.2,23.1,1
62.6,25.5,7.1,1.06,21.7,34,300,7.43,38.9,54.7,0
8.2,17.9,1.03,1.55,41.8,106,1747,29.2,51.9,16.7,1
88.2,29.7,13.8,3.25,31.6,58.8,667,22.3,45.7,13.8,0
10.8,23.5,7.37,10.1,19.1,43.3,1018,15.1,23.9,18.3,0
54.7,24.6,6.92,1.15,47,95.6,1877,1,1,7.7,0
57.3,23.7,7.1,9.65,44.9,126,1186,3.49,18.4,77.7,0
28.1,44.1,1.08,3.62,43.7,87.4,552,12.7,25.5,6.73,0
21.1,15.8,7.43,2.48,13.8,36.2,784,25.3,45.3,82,1
78.4,57.8,5.57,1,5.38,17.8,704,18.8,29.2,8.9,0
6.98,28.4,9.73,1,34.6,66.1,355,23.3,42.6,22.9,0
65.5,22.5,1,1.01,61,95.6,956,14.9,30,21.1,0
58.3,24.6,4,4.96,5.94,34.3,874,4.14,16.8,109,1
16.1,15.3,1.11,1,10.5,48.3,1762,4.22,20.5,50.9,0
34,29.4,3.22,2.76,19.1,30,441,20,45.7,13.6,0
14.3,16.8,1.81,5.73,12.9,33.7,523,47.8,106,58.8,1
68.5,28.6,1.86,1.91,20.5,41.4,305,26.4,58.8,32.5,0
63.2,29.2,2.46,1.91,25.7,54.7,337,33.1,79.1,31.6,0
100,57.3,6.21,1.24,23.5,34.6,308,12.7,22.5,2.07,1
103,41.4,6.04,10.5,5.73,22.1,500,21.1,44.1,24.4,0
62.1,22.5,10.7,1.68,91.4,165,470,11.9,25.9,15.3,0
81.3,47.4,1.08,1,7.64,35.2,743,19.3,39.6,21.3,0
69.8,19.6,1,7.7,74.3,161,737,12.9,32.5,13.7,0
42.9,20.9,4.7,1.25,24.1,65.5,806,3.16,12.6,85.8,1
72.3,75,3,1.98,54.2,118,1027,27.9,67.3,27.1,0
47.8,18.9,6.85,5.23,35.5,74.3,906,24.4,71.7,19.6,0
73,40,5.73,1.01,34,84.3,1685,3.55,30,93.1,1
46.1,35.9,11.3,1.27,37.2,97.3,764,17.2,42.2,11.7,0
9.47,4.57,1.47,5.05,311,644,1946,13.1,30.2,13.3,0
75,28.4,6.67,7.17,13.2,139,132,17.5,39.6,8.74,1
25.9,42.2,2.86,1.01,11,25.9,429,25,43.3,5.47,1
40,30.5,10.6,35.2,33.7,95.6,2666,24.8,42.6,13.1,1
51.9,17.8,1,1.01,36.2,72.3,2091,8.2,17.3,32.8,0
95.6,61.5,11.2,1.01,18.4,53.8,483,3.34,8.28,40.7,1
49.6,18.1,10.9,2.33,20.2,35.2,355,13.8,25.9,7.91,1
359,365,13.3,1,11.2,20.4,491,13.5,39.2,13.6,1
71,47.4,2.97,3.11,27.6,35.2,241,1,68.5,4.29,0
62.1,37.9,1.5,1,67.3,135,730,11.1,21.7,8.2,0
4.18,21.9,4.49,2.23,46.6,97.3,2035,21.7,45.3,19.1,0
14.2,7.1,10.6,4.14,34,55.2,308,21.5,64.4,21.7,0
73,22.1,9.31,1.01,28.4,38.2,349,13.7,31.3,17.2,0
23.9,22.5,2.27,2.57,46.6,82.8,588,1.7,53.8,2,0
15.7,16.3,5.38,93.9,32.5,66.1,655,42.2,107,34.6,1
36.2,39.6,1.86,5.42,40.3,101,1219,35.2,77,32.2,0
69.8,21.9,9.47,1.01,24.6,61,297,9.73,28.9,13.1,0
48.3,19.1,5.83,1.01,41.4,130,799,30.5,55.2,25,0
138,125,6.85,2.55,9.06,5.38,133,18.9,38.5,3.4,0
62.1,39.2,4.66,3.37,28.1,69.2,1275,28.4,50.9,14.2,0
63.8,24.1,1.01,3.13,15.5,73.7,2110,1,2.94,3.16,1
95.6,52.3,5.99,1,6.38,20.2,26.4,23.7,31.6,29.2,1
7.84,26.2,10,8.43,7.37,14.6,248,13.2,23.1,30.5,0
50,17.3,1,3.34,14.9,34,316,18.1,52.8,33.4,1
12,12.4,4.66,1,26.7,65.5,982,30.5,38.2,9.31,0
71.7,30.5,11.8,1.01,34,58.8,567,24.1,50,23.3,0
17.8,24.6,1.23,1.01,8.82,23.5,843,11.3,44.9,86.6,0
34.3,30,1,1,58.8,114,882,23.3,56.7,44.1,1
27.1,24.8,14.6,2.39,12.3,71,1420,2.33,22.9,77,1
55.7,34.9,1.75,3.92,44.5,79.9,1055,26.9,45.7,17.5,0
70.4,32.8,1.04,1.88,20.4,43.3,730,12.4,21.3,1,0
54.7,28.1,1.15,4.61,28.1,46.1,375,51.9,67.9,1.67,1
30.2,24.6,6.67,1.79,20.5,43.3,491,2.29,6.85,4.18,0
7.43,29.4,8.51,1.42,37.9,97.3,1700,6.73,12.6,5.52,0
42.2,40,3.96,1,29.4,47,474,25.5,47.4,21.9,0
29.4,22.1,3.85,3.68,29.4,73.7,1176,10.1,25.7,14.2,0
130,117,7.77,1.06,34.6,58.8,418,3.46,20,95.6,1
97.3,51.4,7.91,2.05,14.1,29.4,491,91.4,139,28.1,0
77,91.4,1.54,1,31.1,36.5,316,14.9,36.8,8.58,0
26.2,15.5,7.7,3.79,14.7,36.2,372,7.17,8.66,1,0
44.1,15.3,3.43,2.41,17.5,43.3,349,35.5,83.5,37.9,0
61,32.2,3.22,1,22.7,45.7,281,9.31,18.4,5.52,0
82.8,50.5,8.2,1.96,32.8,55.2,422,18.1,33.1,13,1
120,35.9,4.91,2.97,18.8,34,372,16,34,6.04,0
51.9,46.1,13.2,1.01,6.73,13,474,24.4,50.5,77.7,1
18.4,18.1,6.49,1,8.2,25.3,547,8.35,25.5,2.44,0
154,53.8,6.44,1,33.7,57.8,1165,13.9,13.8,6.92,0
47,27.1,5.83,1.01,11.3,39.6,723,29.4,48.3,27.6,0
92.2,31.6,7.77,1.58,17.5,24.1,655,19.8,40.7,5.83,0
64.9,24.6,4.33,1,6.1,19.1,757,26.4,50.5,10,0
37.9,18.4,4.33,1.25,34,100,914,6.44,30.8,108,0
37.5,29.7,1.81,1.01,27.9,50,289,14.7,28.1,1,0
63.2,34.6,5.52,2.41,17.8,32.8,717,15.4,25.9,17.6,1
8.98,22.1,7.99,3.62,78.4,145,673,6.85,19.8,1,0
42.9,15,1.15,1.01,5.19,19.8,588,32.2,59.9,14.3,1
69.8,20.4,5.23,1.01,56.7,127,698,16.7,32.8,17.6,0
12.9,20.4,3.19,1.01,8.66,31.9,655,18.8,31.3,11.7,0
106,24.1,4.53,1.01,61.5,111,1670,32.8,79.9,26.7,1
59.9,23.7,1.6,3.02,17.6,42.2,269,18.9,41.8,18.1,0
172,33.1,5.88,173,24.1,32.8,279,31.9,56.2,28.9,1
39.6,18.1,4.83,1,13.7,35.5,198,32.5,84.3,60.4,1
20,23.1,2.55,3.22,17,62.6,1252,3.52,36.8,67.9,1
59.4,26.9,14.1,2.13,41,89,632,18.1,44.1,26.4,0
82,26.2,1.01,1.3,27.4,69.8,1762,34,50.5,8.51,0
65.5,35.2,7.37,1.72,8.98,22.7,474,9.73,25.5,14.7,0
100,44.5,1.01,6.32,24.8,51.9,487,2.55,9.82,48.3,0
122,46.1,1.32,1.33,46.1,91.4,2350,22.9,46.6,15,0
55.7,22.9,3.22,6.67,14.9,53.3,1055,17,35.2,9.56,0
100,57.3,4.26,1.01,11.7,29.2,322,21.1,31.6,13.7,0
20.7,13.6,8.43,5.33,18.9,56.7,2458,9.39,19.8,1.98,0
103,35.2,1,1.01,13.7,25.5,382,14.9,25.5,8.28,0
67.9,20.4,1,2.27,18.4,30.8,205,13.2,40.3,17.3,0
106,26.7,10.4,1.08,21.9,37.2,264,17.9,35.9,37.9,0
98.2,30,5.47,2.27,3.46,19.6,820,40,71.7,40,0
74.3,21.5,1.75,1.12,18.1,71.7,1999,29.2,52.3,9.06,0
45.7,34,5.47,3.34,14.9,20.7,225,14.2,39.2,20.9,0
65.5,31.9,4.41,3.46,43.7,79.1,922,28.1,50.9,27.6,0
67.9,24.6,2.5,1.01,21.3,44.9,523,26.7,47,10.1,0
94.7,36.5,6.79,1.23,14.6,30.2,567,113,175,37.9,0
56.7,31.3,7.77,4.07,80.6,143,557,15.7,37.2,15.1,0
55.2,24.4,1.73,6.38,14.3,29.7,328,2.46,13.7,75,0
14.1,19.1,3.37,2.13,7.04,26.9,704,27.6,44.9,11.3,0
75,18.3,3.28,1.01,24.6,38.5,175,15.5,33.4,89,0
89.8,42.9,6.32,1,20.7,44.9,271,21.1,38.5,13.1,0
68.5,25.7,3.4,1.25,7.84,20.7,27.6,16,33.4,11.8,0
1.12,22.7,6.38,1,25.3,42.2,449,24.6,50.5,13.1,0
43.7,28.4,10.2,1.23,17.8,39.6,337,19.1,41,12.7,0
10.5,23.1,2.62,1.05,18.1,40.7,289,24.4,49.6,43.3,0
47.4,16.3,1.84,1.95,32.5,57.3,445,20.5,42.2,22.9,0
53.3,21.5,6.85,2.92,19.1,55.7,679,64.9,114,47.8,1
41.4,24.1,11.8,1.55,9.91,58.3,389,2.59,16.1,79.9,0
259,172,1,1.41,21.5,42.6,407,39.2,73.7,48.3,0
99.1,46.6,5.33,1.3,10.9,32.5,466,7.04,21.9,2.67,1
58.3,27.6,7.7,4.29,6.55,15.5,28.9,16.5,31.1,16.1,0
54.7,33.4,9.73,2.17,46.6,85.8,604,31.6,54.7,26.4,1
49.1,18.8,5.94,3.62,85.1,130,1027,15.4,42.9,67.9,0
62.6,38.5,8.43,3.79,143,211,874,29.7,48.7,14.6,0
53.3,30.5,3.55,9.31,36.2,86.6,2035,32.5,77.7,23.3,0
71,23.7,12.7,3.31,8.74,17.5,547,12.2,29.7,8.9,0
170,43.7,1.86,1.95,34.3,81.3,67.3,42.9,92.2,63.8,0
61,14.9,3.31,2.53,19.6,47.8,237,2.67,18.6,13.7,1
77,17.8,1,5.19,39.2,69.8,1134,2.37,19.3,57.3,0
22.5,22.5,10.5,2.67,10.4,26.2,449,13.7,23.7,7.37,0
66.7,27.9,4.1,1,18.1,28.1,410,5.14,11.2,86.6,0
12.2,10.4,7.23,1.26,8.74,30.5,179,22.3,42.9,16.3,0
73.7,18.9,3.68,1.36,7.84,16.5,433,1,9.47,4.91,1
98.2,31.9,12.5,2.86,12.1,38.9,35.9,39.6,96.5,34.3,1
10.5,13.6,2.33,1.01,15.5,35.5,400,25.5,47.4,25.5,0
82.8,30,9.82,5.23,7.99,20.5,610,16,42.9,23.3,1
12.5,14.3,1,1.01,41,61.5,311,13,31.3,15.7,0
64.9,34,2.31,1.45,7.5,16,400,3.65,23.7,62.6,1
18.3,15.5,3.05,4.53,30.2,56.7,1486,29.2,69.8,26.9,1
57.3,33.7,1,2.84,79.9,153,1219,6.21,13,5.19,0
59.9,35.2,8.66,1.33,6.79,29.4,12,14.1,36.8,13.3,0
49.6,15.3,1.39,1.01,24.8,71,2035,9.73,23.1,26.9,1
17.9,18.1,4.1,1,24.1,35.9,302,18.9,40.3,13.5,1
69.8,32.8,3.62,1.68,11.9,26.4,426,1.93,20.7,44.1,0
40.3,26.2,6.67,1,11.2,44.5,784,18.4,33.7,12.5,0
79.9,27.9,3.89,1,49.6,139,1144,13.6,30.5,8.06,0
93.9,34.3,1,1,8.82,24.4,632,5.62,12.1,115,0
106,26.9,6.26,3.22,12.4,37.2,514,25.5,39.2,9.47,0
7.1,21.7,4.49,2.97,21.9,101,1230,22.5,48.7,34.6,1
57.3,29.7,2.02,2.86,12,21.5,259,11.1,22.1,11.1,0
67.9,53.3,4.83,4.74,63.2,112,1486,39.6,65.5,29.7,0
14.1,33.7,1.43,1,33.7,57.8,410,7.37,24.4,7.43,0
56.2,26.2,6.85,3.25,68.5,121,626,28.1,73.7,45.7,0
93.1,30.5,1.72,1,6.73,34,717,50.5,107,59.9,0
50,31.1,1.86,1.79,19.1,33.1,267,3.34,21.1,56.2,0
41.8,23.1,1,1.06,20.5,33.1,292,35.2,66.7,25.9,0
170,142,26.7,170,39.2,75.7,874,10.7,20,9.56,1
61.5,37.5,4.78,2.25,21.3,30.5,274,11.2,17,6.1,1
108,46.1,5.88,1,26.4,28.9,316,36.2,68.5,54.7,0
80.6,18.6,2.29,1.76,25.3,49.6,313,31.3,76.4,9.82,0
10.6,17.5,1.57,1.84,15.1,48.7,1512,31.9,57.3,9.14,0
71,22.5,10.7,1.53,16.1,34.9,429,3.34,9.22,5.99,1
16.7,13.3,6.73,1,22.9,38.5,403,1.78,3.4,6.15,0
161,42.2,5.94,1.75,7.3,15.4,750,17.5,31.3,20.4,0
61.5,25.5,6.15,2.46,34.3,56.7,365,2.53,17.2,54.7,0
31.9,23.7,1.25,1.7,39.2,61.5,604,20.5,38.5,16,1
19.5,7.43,1.41,1.13,23.5,43.3,385,26.2,52.3,36.2,0
50.5,19.6,3.37,5.67,20.7,36.8,429,17.5,41.8,10.5,0
41.4,18.3,3.68,4.26,20.2,29.4,385,30,62.6,30.2,0
50.5,21.3,4.18,3.08,13.9,31.6,505,17,36.5,14.3,0
36.2,31.9,1.23,8.74,8.13,24.1,355,25,58.3,31.9,0
86.6,35.2,4.87,1.91,85.8,184,1208,7.43,30,107,0
92.2,63.2,3.52,3.34,11.2,31.1,457,19.8,29.4,12.1,1
36.8,17.9,2.48,4.14,39.2,63.2,858,28.1,46.6,6.73,0
71.7,21.9,2.27,5.05,26.9,47.4,334,37.9,69.2,20.4,0
80.6,31.9,8.82,1,20.9,36.5,433,37.9,62.1,16.4,0
13.6,40.7,2.15,5.09,19.6,31.1,257,24.4,41.4,27.9,0
55.7,31.6,6.79,250,7.64,18.1,514,22.3,41.8,14.7,1
23.7,14.7,1.21,2.48,7.99,19.8,487,26.4,58.3,23.1,0
58.8,17.3,5.28,1,46.6,53.8,259,27.9,80.6,184,0
36.8,14.1,6.98,1,14.3,36.5,500,53.3,101,77.7,0
67.9,19.8,1.33,1,20.4,32.5,305,34.3,58.3,21.1,0
47.4,25,1.01,2.15,28.9,61,1778,16.8,33.1,27.9,1
11.1,13.8,14.7,5.09,44.1,86.6,723,26.4,84.3,48.7,0
57.3,17.9,6.55,1,11.1,30.2,667,17.6,44.1,30.8,0
64.9,26.7,1,1,40.7,73,2054,2.76,13.7,47.8,1
67.9,39.6,15.5,6.61,18.8,42.6,18.1,37.9,86.6,35.9,0
77,30.5,4.49,2.46,24.6,41.8,302,13,18.8,50.9,1
91.4,30.8,7.64,5.94,6.32,10.5,300,6.49,13.7,56.2,0
8.2,12.2,1.58,5.88,11.3,19.1,328,2.94,12.3,25.7,0
69.8,24.8,1,2.69,29.2,61.5,1134,21.1,32.2,17.5,1
37.9,19.5,1,2.94,93.9,168,661,4.83,23.5,69.8,0
8.35,13,5.83,1,24.8,38.2,308,2.69,9.73,27.6,1
161,113,3.82,2.11,28.6,64.9,523,17.6,42.2,13.6,1
44.1,26.9,8.2,1,4.26,20.2,667,23.7,75,16.3,0
64.4,25.9,5.78,3.62,10.4,40,820,20.7,40.3,13,1
54.7,11.8,4.18,1,66.7,154,1928,20.7,57.3,23.9,1
59.4,36.2,9.47,6.44,79.1,145,922,32.5,66.7,36.8,0
88.2,34,1,167,19.8,41.8,241,1.64,12.2,42.9,1
56.2,47.8,7.57,3.65,5.52,10.9,167,36.2,69.2,21.7,0
27.6,21.3,4.26,1.88,9.39,19.6,828,5.78,13.6,78.4,0
78.4,31.6,6.49,3.43,10.9,25,414,11.7,34.3,73,0
70.4,40,2.57,1.65,23.5,42.9,392,2.39,11.4,43.3,0
80.6,30,18.8,1.65,19.8,54.7,281,21.5,41,13.9,0
88.2,37.5,7.3,1.57,71.7,186,1197,28.4,44.5,15.5,0
43.7,37.2,5.38,2.27,6.1,13.8,567,11.5,35.5,13.2,0
133,102,6.73,1.01,79.1,139,750,1.83,31.1,97.3,0
14.2,25.5,8.2,1.01,57.8,87.4,1027,14.7,37.9,6.04,1
56.2,24.8,3.75,5.05,12.7,30.2,229,4.66,14.9,65.5,0
91.4,22.5,1,2.29,5.78,13.8,874,18.6,33.7,12.2,0
70.4,31.9,6.61,1,45.3,101,2187,11.7,27.6,16.1,0
118,59.9,9.47,2.94,18.9,59.4,692,33.4,51.9,31.9,0
55.2,22.1,1.11,1,18.4,50.9,389,8.28,41.8,87.4,0
60.4,57.3,7.23,1,93.1,165,1946,5,16.7,78.4,0
72.3,22.1,3.55,1.01,10.3,25.5,334,4.18,21.1,83.5,0
58.8,35.9,2.84,7.37,22.9,32.5,294,20.2,40,11.5,0
121,38.9,15.4,25.3,27.6,45.7,346,15.8,40.3,13.1,1
132,55.2,17,6.79,9.39,25.9,523,25.7,58.8,27.9,0
111,36.5,6.98,1,28.4,54.2,211,4.66,33.7,100,0
11.3,21.3,1.54,1,64.4,120,615,18.9,37.2,23.5,0
54.7,16.1,5.09,5.05,7.64,18.3,500,24.4,42.6,11.1,1
89.8,38.2,12.7,2.64,21.3,47,319,12.4,21.9,12.3,1
79.1,16.5,6.1,1.64,7.99,29.4,385,32.2,67.9,21.7,0
65.5,36.5,2.79,1.93,26.7,41,289,1.7,15.8,57.8,0
328,346,1,1,13.9,38.2,271,41.4,78.4,19.8,1
90.6,25.7,7.37,1,7.37,20.7,379,29.2,71,118,1
119,76.4,7.04,2.17,24.8,41,343,7.5,54.2,48.7,0
67.9,26.2,2.44,1,34,74.3,594,22.1,42.9,6.1,0
56.2,8.98,8.9,5.14,17.8,60.4,1370,25.9,37.5,11,1
25.5,16.8,10.6,1.01,48.3,117,453,40.3,75,63.8,0
47,83.5,8.82,2.59,24.4,40,227,24.1,30.5,14.6,0
36.2,16.7,6.73,3.85,34.6,57.3,632,2.69,25,91.4,1
62.1,36.8,10.8,2.17,15,32.5,382,21.7,42.6,23.1,0
32.8,22.7,8.66,1.57,41.8,52.3,349,18.4,41,22.7,1
32.2,16,1.89,1,9.06,23.3,403,5.83,21.3,62.6,1
110,53.3,3.89,1,12.5,33.1,292,31.9,75.7,69.2,0
114,157,14.7,3,9.31,16.5,523,18.4,42.6,15.4,1
41.8,18.8,18.8,7.43,10.7,19.6,429,21.3,55.2,18.1,1
102,26.4,8.13,1.08,51.4,89,982,40.7,92.2,54.7,1
93.1,27.1,3.79,1.75,17,29.7,583,35.5,61,32.2,1
106,23.9,8.74,1.18,8.51,26.9,717,17.8,32.5,14.2,1
75.7,31.9,4.91,4.96,37.2,66.7,610,24.1,58.8,43.7,1
123,70.4,9.06,1.01,25.7,47.4,239,20.4,44.9,24.4,0
47,26.4,1.79,1.02,36.2,85.1,1611,29.4,58.8,21.3,1
70.4,47.4,3.37,1.23,13.5,20.4,621,30,71.7,139,0
60.4,14.6,3.55,1.57,6.04,7.04,28.6,15.3,31.6,8.2,0
101,32.5,9.39,1.29,13.8,41.4,478,24.4,53.8,96.5,0
82.8,23.9,10,7.17,32.8,40,215,3.25,13.3,77,0
85.8,30,11.5,1,8.9,20.9,567,19.5,37.5,4.57,0
20.5,17.9,1,4.83,12.6,19.8,372,12.1,34.3,14.5,1
18.1,23.9,3.49,1.01,19.5,46.1,418,6.85,25.7,83.5,0
88.2,27.1,12.2,1.01,20.5,29.7,392,16.1,41.8,18.1,0
103,44.1,3.52,1.38,10.5,20.4,396,15.5,36.2,32.8,1
33.1,17.3,5.52,3.68,5.67,34.9,491,20.7,33.7,21.7,0
10.5,23.9,3.34,2.86,5.62,28.4,777,25.3,58.8,31.9,1
77.7,29.2,1.01,1.2,8.82,32.2,523,12.5,31.3,132,0
52.3,29.4,3.13,1.23,51.9,147,939,11.9,24.4,12,0
42.2,37.9,2.74,1.01,15.3,27.9,599,22.1,53.8,15.3,1
71,30.8,8.43,4.03,12.5,35.5,164,3.05,18.9,89,0
53.8,38.2,8.43,1,22.1,45.7,257,7.77,4.91,62.1,1
77,34.9,1.47,1.68,34.9,63.2,1486,52.8,85.8,30.8,1
14.2,12.5,9.73,1.01,21.7,51.9,319,1,47.8,4.1,0
34.3,21.7,10.5,1.35,20.9,32.5,264,4.61,20.5,50.5,0
77.7,43.3,5.52,1,22.9,41,239,15.7,36.5,7.84,0
66.7,42.2,8.66,3.65,19.3,71.7,692,18.8,47.4,10.9,0
67.9,30.8,6.73,1.22,62.6,104,547,1.72,42.9,3.31,0
62.6,14.3,2.92,3.11,17.5,34.9,578,15.3,42.2,9.56,0
60.4,19.8,1,1.95,4.78,21.1,692,33.4,83.5,30.2,1
82.8,37.5,1,7.3,15.3,24.6,396,14.9,34.9,8.98,0
79.9,64.9,6.61,1.01,20,33.1,334,11.7,24.1,6.61,0
77.7,35.2,7.17,1,22.3,46.6,300,5.42,23.5,100,0
98.2,28.9,6.61,1,50,105,533,2.48,29.7,56.2,0
75.7,23.9,1,1.64,19.3,34.9,311,21.9,41,16.1,1
67.3,26.9,8.66,9.91,33.4,102,737,62.1,111,61,1
84.3,47.8,14.9,48.7,26.9,38.5,267,24.4,58.3,42.6,1
89.8,21.9,13.5,2.31,16.3,58.8,2227,21.5,48.7,20.5,1
91.4,26.7,1.38,2.39,17.2,32.5,186,15.8,50,18.4,0
66.1,25,6.61,2.84,11,32.5,297,34,70.4,47.4,0
71.7,53.3,4.29,6.1,12.3,25.5,337,15.4,34.6,9.22,1
170,41.8,5.52,1.41,24.1,37.9,286,1.39,30.2,4.53,1
37.2,17.9,10.9,1,27.4,44.5,313,5.09,18.8,50,1
69.8,29.4,8.35,1.39,3.75,8.06,302,20.5,46.6,9.39,1
50,25.5,2.04,72.3,31.1,63.8,1843,20.5,34,7.1,1
74.3,35.5,5.73,3.52,18.6,32.8,244,5.99,23.7,111,0
79.9,58.8,7.99,2.64,10.6,23.9,392,47.8,69.2,35.5,0
73,29.7,5.94,4.29,13.6,145,154,23.7,48.7,15.5,0
39.2,20,3,3.28,30.5,65.5,1670,36.8,87.4,92.2,1
111,107,4.53,5.38,12.3,20.2,319,2.35,105,5.28,0
50.9,30,12.1,1.79,1.64,20,770,29.2,66.7,18.8,1
26.4,25.5,10.6,3.28,25,41.8,292,16.3,39.6,15.4,1
89.8,57.8,4.7,1.15,22.5,40.3,271,10.8,22.1,9.47,1
78.4,43.7,3.75,4.7,17.2,31.9,211,74.3,112,28.9,0
53.8,17.5,4.83,1.01,41.4,71,1197,5.14,16.7,71,0
7.57,32.2,8.43,1.01,14.1,30.5,305,34.3,63.8,14.9,0
20.9,23.7,11.9,4.22,87.4,161,685,10.6,25.5,14.2,1
75.7,23.9,6.44,1,15.7,34,474,24.4,55.2,21.1,1
66.1,34.9,15.7,6.67,14.9,31.6,281,4.96,28.4,89.8,1
51.4,18.1,9.14,1,24.8,51.9,337,24.8,70.4,59.9,0
130,49.1,13.3,6.21,43.3,79.1,770,2.79,17.2,65.5,0
132,77,2.19,1.61,6.92,19.8,379,14.6,34,14.3,0
62.1,14.7,4.83,1.39,26.2,43.3,523,21.9,28.6,11.5,0
13.1,10.6,6.85,2.92,23.7,40.3,340,4.53,23.7,111,0
53.8,26.2,5.09,1.06,13.8,29.7,294,12.6,28.9,6.38,0
54.2,23.1,5.78,2.64,34.3,59.9,466,2.09,56.2,4.22,0
61,18.9,5.42,3,13.6,16.3,426,20.4,50,17.9,0
54.7,18.9,3.02,4.37,21.7,35.9,235,14.1,25.7,10.8,0
66.7,19.3,2.46,1.06,10.7,36.2,422,11.8,25.7,9.91,1
75.7,29.2,2.13,1,10.5,14.3,276,58.3,85.8,30,1
52.3,15.1,12.1,5.52,7.23,17,328,1.19,9.39,53.3,0
77,28.6,11.2,3.28,14.6,35.9,355,25.3,41.8,13.3,0
46.1,18.8,1,6.15,26.4,46.6,239,11.2,27.4,9.91,0
175,77,3.72,2.33,10.1,26.9,588,24.4,37.5,25.7,0
28.6,27.6,8.28,1,12.7,32.5,615,14.6,31.9,9.47,0
96.5,40,1,3.25,27.1,48.3,757,24.8,43.7,20,0
103,35.2,7.43,6.49,46.1,88.2,626,1.73,75.7,3.34,1
6.67,12.9,2.15,7.99,11.7,49.1,514,4.66,24.1,63.2,0
13.3,20.2,8.2,2.17,6.44,28.4,23.5,12.2,23.7,7.3,1
145,53.3,7.7,1.39,50.9,113,843,22.3,44.1,64.4,0
14.5,20.7,1.38,5.62,24.8,38.5,284,58.3,161,40.3,1
97.3,36.2,1.76,2.11,2.31,22.5,426,3.46,34,95.6,1
18.6,17.8,1,1.01,26.4,32.2,264,30.2,52.8,25.3,1
63.8,22.5,4.74,1.11,13.7,28.4,528,11.5,20.2,1.68,1
85.1,21.9,1.08,1,8.74,18.8,355,5.83,17.9,103,0
69.2,16.4,5.99,1.21,14.7,34,281,2.27,19.8,83.5,0
79.1,41.4,1,1.72,6.98,22.7,604,14.2,25,14.6,0
83.5,19.5,7.57,1.08,17.9,33.4,316,16.7,26.9,15.4,0
1.46,3.82,5.52,5.83,53.3,107,1843,21.9,61,19.1,0
87.4,22.9,2.23,1,9.47,14.7,478,10,24.4,9.56,0
73,61.5,9.47,3.96,7.17,13.7,241,36.5,76.4,49.1,0
90.6,59.9,8.51,2.74,9.91,31.6,704,14.5,36.8,74.3,0
50.5,20.9,1.88,1.91,34.3,107,1055,4.66,32.5,115,0
141,139,8.58,1.01,7.84,25.3,791,20.9,41.4,18.6,0
12.9,12.7,5.33,3.22,51.4,81.3,673,16.3,39.6,19.1,0
176,36.5,1.32,5.88,11.8,33.4,255,17,33.1,29.4,1
32.2,13.2,4.14,2.41,14.6,28.6,638,54.7,73,23.9,0
17.6,8.2,4.61,1,24.6,51.4,193,20.7,33.7,4.87,0
61,47,4.53,1.35,26.2,51.9,355,40.3,75.7,45.7,0
49.1,34.3,3.28,1,23.5,38.2,264,36.2,62.6,95.6,0
31.6,8.66,7.99,1,37.9,84.3,1611,8.51,56.2,239,0
117,56.7,6.98,3.52,10.9,40,982,7.17,15.1,22.9,0
