raf,mek,plc,pip2,pip3,erk,akt,pka,p38,jnk,Class
39.2,20,3,3.28,18.8,30.5,65.5,1670,87.4,92.2,1
111,107,4.53,5.38,9.06,12.3,20.2,319,105,5.28,0
50.9,30,12.1,1.79,21.7,1.64,20,770,66.7,18.8,1
26.4,25.5,10.6,3.28,36.8,25,41.8,292,39.6,15.4,1
89.8,57.8,4.7,1.15,18.1,22.5,40.3,271,22.1,9.47,0
78.4,43.7,3.75,4.7,11.7,17.2,31.9,211,112,28.9,1
53.8,17.5,4.83,1.01,4,41.4,71,1197,16.7,71,0
7.57,32.2,8.43,1.01,7.5,14.1,30.5,305,63.8,14.9,1
20.9,23.7,11.9,4.22,24.8,87.4,161,685,25.5,14.2,0
75.7,23.9,6.44,1,20,15.7,34,474,55.2,21.1,1
66.1,34.9,15.7,6.67,18.8,14.9,31.6,281,28.4,89.8,0
51.4,18.1,9.14,1,6.73,24.8,51.9,337,70.4,59.9,1
130,49.1,13.3,6.21,3.79,43.3,79.1,770,17.2,65.5,0
132,77,2.19,1.61,5.52,6.92,19.8,379,34,14.3,1
62.1,14.7,4.83,1.39,10.2,26.2,43.3,523,28.6,11.5,1
13.1,10.6,6.85,2.92,5.05,23.7,40.3,340,23.7,111,0
53.8,26.2,5.09,1.06,1,13.8,29.7,294,28.9,6.38,0
54.2,23.1,5.78,2.64,7.43,34.3,59.9,466,56.2,4.22,0
61,18.9,5.42,3,11.1,13.6,16.3,426,50,17.9,1
54.7,18.9,3.02,4.37,13.8,21.7,35.9,235,25.7,10.8,1
66.7,19.3,2.46,1.06,25.3,10.7,36.2,422,25.7,9.91,0
75.7,29.2,2.13,1,18.6,10.5,14.3,276,85.8,30,1
52.3,15.1,12.1,5.52,7.91,7.23,17,328,9.39,53.3,0
77,28.6,11.2,3.28,16.4,14.6,35.9,355,41.8,13.3,1
46.1,18.8,1,6.15,9.65,26.4,46.6,239,27.4,9.91,0
175,77,3.72,2.33,11.3,10.1,26.9,588,37.5,25.7,1
28.6,27.6,8.28,1,14.9,12.7,32.5,615,31.9,9.47,1
96.5,40,1,3.25,15.1,27.1,48.3,757,43.7,20,1
103,35.2,7.43,6.49,20,46.1,88.2,626,75.7,3.34,0
6.67,12.9,2.15,7.99,17.2,11.7,49.1,514,24.1,63.2,0
13.3,20.2,8.2,2.17,21.7,6.44,28.4,23.5,23.7,7.3,0
145,53.3,7.7,1.39,1.84,50.9,113,843,44.1,64.4,1
14.5,20.7,1.38,5.62,26.9,24.8,38.5,284,161,40.3,1
97.3,36.2,1.76,2.11,21.3,2.31,22.5,426,34,95.6,0
18.6,17.8,1,1.01,18.4,26.4,32.2,264,52.8,25.3,1
63.8,22.5,4.74,1.11,20.5,13.7,28.4,528,20.2,1.68,0
85.1,21.9,1.08,1,7.5,8.74,18.8,355,17.9,103,0
69.2,16.4,5.99,1.21,13.7,14.7,34,281,19.8,83.5,0
79.1,41.4,1,1.72,7.77,6.98,22.7,604,25,14.6,1
83.5,19.5,7.57,1.08,2.76,17.9,33.4,316,26.9,15.4,1
1.46,3.82,5.52,5.83,11.8,53.3,107,1843,61,19.1,1
87.4,22.9,2.23,1,13.7,9.47,14.7,478,24.4,9.56,0
73,61.5,9.47,3.96,15.4,7.17,13.7,241,76.4,49.1,1
90.6,59.9,8.51,2.74,8.13,9.91,31.6,704,36.8,74.3,1
50.5,20.9,1.88,1.91,14.7,34.3,107,1055,32.5,115,0
141,139,8.58,1.01,12.3,7.84,25.3,791,41.4,18.6,1
12.9,12.7,5.33,3.22,13.7,51.4,81.3,673,39.6,19.1,1
176,36.5,1.32,5.88,20.5,11.8,33.4,255,33.1,29.4,1
32.2,13.2,4.14,2.41,15,14.6,28.6,638,73,23.9,1
17.6,8.2,4.61,1,6.79,24.6,51.4,193,33.7,4.87,1
61,47,4.53,1.35,7.57,26.2,51.9,355,75.7,45.7,1
49.1,34.3,3.28,1,2.19,23.5,38.2,264,62.6,95.6,1
31.6,8.66,7.99,1,8.06,37.9,84.3,1611,56.2,239,0
117,56.7,6.98,3.52,11.1,10.9,40,982,15.1,22.9,0
84.3,46.1,4.45,1.01,11.5,5.99,14.1,18.6,59.9,274,1
42.9,12.2,13.1,3.82,18.6,45.3,75,655,9.31,8.58,0
73,25.5,2.41,1.23,18.4,21.7,50,533,31.9,19.3,1
79.9,52.3,6.67,1.68,2.67,9.91,23.1,509,142,30.2,1
58.8,13.1,10.4,1.01,5.47,23.1,43.3,334,24.6,95.6,0
19.6,27.1,14.9,1.01,18.4,29.4,48.3,359,33.7,66.7,0
51.4,16.3,1.27,4.07,13.1,25.7,44.1,274,34,9.65,1
34,13.8,4.7,6.49,21.3,16.3,45.7,403,18.6,61.5,0
71,21.3,6.73,2.81,12.1,44.9,71,319,37.2,25,1
114,26.2,10,3.05,4.29,18.9,36.8,331,33.7,89.8,0
49.6,30.5,7.3,2.02,5.47,21.1,41,237,34.9,10.5,1
53.8,21.3,4.26,1.75,7.57,4.87,5.99,453,26.4,9.82,1
36.2,17.8,5.14,3.43,9.65,14.7,31.6,385,31.1,11.2,1
81.3,64.4,2.04,1,15.5,44.5,89.8,583,43.7,6.04,0
93.1,32.5,4.91,8.58,27.1,21.5,49.1,1346,37.9,75.7,0
30.8,16.7,7.37,3.02,9.65,18.6,31.6,297,29.7,7.1,1
80.6,32.5,9.73,1,13.3,25.3,28.4,229,47.4,10.7,1
59.4,15.3,1.01,2.37,19.6,15.7,41,269,22.1,6.44,0
59.9,24.1,1.68,1.49,2.46,25.5,52.8,382,34.6,94.7,0
66.7,18.8,4.7,1,5.78,41,89.8,1655,48.3,13.9,1
74.3,18.6,3.4,1.01,7.7,20.2,36.8,235,79.9,75.7,1
14.6,25.7,3.46,1.01,22.5,26.9,44.1,246,50,16.1,1
81.3,30.2,5.09,2.89,15.4,14.7,29.7,644,14.7,22.5,0
35.5,22.5,5.14,1.01,19.8,46.1,94.7,1596,25.5,89.8,0
41,9.31,1,1,5.67,28.6,40,274,59.4,23.3,1
81.3,38.5,8.43,1.12,1,16.8,36.5,519,52.8,13.1,1
73.7,38.5,11.8,1.01,8.2,26.4,54.7,991,42.2,12.5,1
17.8,19.3,16.3,2.07,20.4,7.84,7.5,375,47.4,12.3,1
59.9,48.3,18.9,23.9,29.2,5.88,31.1,750,39.6,196,0
107,32.5,4.87,1.91,7.1,2.84,16.5,491,67.9,25.5,1
7.3,11.9,6.38,4.57,10.2,11.2,19.3,528,35.5,37.5,0
58.8,22.7,3.28,3.46,7.43,12.3,36.2,267,25,75,0
52.3,12.2,7.04,2.84,31.1,16,41,505,33.1,6.73,0
61.5,23.1,8.74,7.3,9.65,13.7,39.2,400,46.6,16,1
53.8,23.5,2.48,5.83,4.26,41.8,55.7,209,21.9,15.3,0
94.7,44.5,5.05,2.59,19.1,30,53.3,610,52.3,13.8,1
63.8,28.4,2.59,7.91,4.41,3.92,27.6,843,10.8,8.2,0
33.4,33.1,7.37,3.96,1,71,120,305,42.9,82.8,1
60.4,22.5,2.41,3.34,7.3,17.5,20.5,284,89,70.4,1
63.2,25.5,2.09,4.7,4.96,66.1,132,770,38.9,95.6,1
77.7,24.8,5,1.01,6.92,18.8,28.4,221,16.5,8.28,0
59.4,27.4,5.38,2.48,5.52,8.74,13.6,461,19.8,12.7,0
15.5,11.7,2.25,2.44,20.5,23.7,49.1,233,53.8,67.3,0
18.6,11.3,2.59,1,1.19,15.4,24.4,426,44.9,8.98,1
16.4,20.4,3.46,8.98,7.3,25.9,28.1,279,24.6,93.9,0
18.4,31.9,1,1.65,1.31,30.2,60.4,1176,23.9,101,0
59.9,13.8,2.11,1.88,10.9,50,97.3,1946,7.17,79.1,0
87.4,25.5,5.99,1,4.57,43.3,89,1843,63.2,20.5,0
36.8,19.6,1.84,2.71,10,8.2,23.5,449,22.9,106,0
17.5,19.3,4.41,1,4.61,4.83,19.6,750,18.8,93.9,0
44.9,30.5,8.43,6.79,22.3,3.22,25,820,31.9,18.9,0
42.2,21.7,8.13,1.02,1.83,14.1,19.1,302,38.5,16.3,1
69.8,22.5,5.73,1.01,16.1,35.5,45.3,313,53.3,20.5,1
4.45,6.1,8.2,1,50,17.6,19.5,437,34,22.7,1
13.1,27.9,12.4,1,10.8,39.6,112,743,32.8,21.7,1
90.6,36.5,8.9,1,1.96,7.99,14.3,328,29.4,14.7,1
85.1,16.3,3.16,1.09,6.92,63.8,179,898,14.3,77.7,0
63.8,27.4,4.57,1.76,15.4,3.43,19.8,362,82.8,28.6,1
11.1,18.4,6.44,1.01,19.1,20,38.2,368,54.2,38.2,1
74.3,28.4,11.5,4.26,16.5,142,191,466,10.9,69.2,0
87.4,41.8,1,2.71,9.82,30.2,63.2,396,106,10,0
89,24.4,2.62,2.15,4.61,6.55,25.5,25.3,41.4,6.04,1
121,77.7,3.55,1,14.5,6.61,19.3,661,42.6,14.3,1
63.2,27.6,10.4,21.1,35.9,7.17,45.7,1358,49.1,142,0
63.8,30.8,4.91,1.02,11.9,84.3,150,453,69.8,42.6,1
77,33.1,5.19,4.07,16.7,13,32.5,441,50.5,22.9,1
9.14,8.66,5.88,8.2,21.1,37.9,76.4,685,34.9,17.3,1
51.4,20,6.79,1.01,11.9,10,29.4,410,33.1,20.2,1
73,25.3,14.9,4.66,48.3,4.7,22.1,478,43.7,7.77,1
93.9,34.9,5.52,1.89,5.23,45.3,141,922,53.8,30,1
49.1,25.3,6.92,1.14,14.3,12.3,37.9,784,75,34.6,1
43.7,18.6,2.84,1.01,14.3,24.4,57.3,890,2.46,3.72,0
55.7,33.4,1,6.67,7.43,20.4,40,610,46.1,10.7,1
62.1,23.1,3.52,2.79,39.2,11.3,15.7,400,34.9,66.7,0
51.9,27.9,17.8,83.5,47.4,32.2,106,1382,27.1,13.7,1
30,7.64,8.28,5.52,18.9,22.5,32.2,322,42.9,24.6,1
9.39,26.9,13.8,2.46,16.3,15.5,26.9,237,20.4,18.8,0
38.2,16.1,14.6,1.54,23.9,29.7,48.3,302,58.8,29.7,1
66.7,27.6,1.41,1.01,28.1,20.5,34.9,233,47,161,0
38.2,19.3,10.5,2.79,16.7,16.7,31.3,717,33.7,9.56,1
33.7,13.3,4.14,1,17.2,18.9,37.5,375,66.7,13.5,0
15.1,17.2,6.61,1.93,16.4,26.4,44.1,281,17.6,50.9,0
60.4,22.9,9.06,1.01,2.55,21.7,41.4,233,38.2,10.9,1
31.9,12.9,6.32,3.92,6.26,53.3,102,906,63.8,107,1
76.4,41.4,5.88,5.14,12.9,62.1,117,445,23.7,3.85,0
50.5,24.1,3.89,5.23,26.4,41.8,102,777,30.2,12.4,0
55.2,18.8,6.04,5.99,13.9,29.2,60.4,445,30,6.79,1
66.7,20,11.5,4.14,10,5.47,21.3,422,35.9,82.8,0
42.2,32.8,2.27,3.28,24.6,42.6,124,1252,75.7,107,1
38.2,19.8,14.9,1,5.78,4.57,38.2,573,52.3,17,1
66.1,18.8,1,1.68,15.5,12,17,418,29.2,7.64,0
56.2,20.9,7.43,1,18.9,10.9,27.1,449,30.5,9.65,1
175,99.1,7.99,6.61,2.5,37.2,66.1,552,29.7,28.1,1
17.5,30.5,13.2,3.28,20.5,13.9,20.2,271,25,88.2,0
82,43.3,1.86,1,13.2,19.8,54.7,2167,17.9,8.74,0
52.3,9.39,1.6,4.66,10.5,12.1,43.7,474,29.2,11.7,1
17.9,16.8,9.65,8.06,14.3,19.3,31.6,710,47.4,20,1
44.1,17.6,3.65,1,24.1,18.4,57.8,835,46.6,8.58,1
66.1,23.1,3.08,1.23,22.7,28.4,55.2,982,36.5,81.3,0
18.1,18.9,9.31,1.75,10.1,21.5,37.9,255,12.7,5,0
78.4,20.5,2.94,3.11,27.9,14.2,28.9,496,27.6,82.8,0
7.04,19.5,9.14,1.06,13.1,13.3,30.2,710,44.5,11,1
71,26.4,3.19,2.81,1.47,28.1,47,346,41.4,33.4,1
17.2,23.5,4.03,1.41,23.9,19.1,34,267,15.8,86.6,0
87.4,30.5,10.3,1.57,18.6,26.7,40,334,73,34.3,1
35.2,21.1,14.5,1.11,6.61,11.3,30.5,922,37.9,6.85,0
74.3,25.5,2.92,1.01,15.3,4.07,35.5,487,27.6,58.3,0
45.7,19.6,6.44,5.83,11.8,3.75,23.1,588,43.3,75.7,1
56.2,16.4,8.58,4.49,5,17,127,982,30.2,12.9,1
56.7,32.2,1.01,1,1.75,3.68,14.2,449,32.5,6.85,0
33.4,55.2,5.38,4.37,10.2,23.5,47.8,316,46.1,9.56,1
79.9,53.3,10.3,1.19,12.7,33.7,56.7,231,49.1,17.2,1
86.6,58.8,5.42,2.94,12.4,18.9,33.1,478,35.2,7.1,1
42.2,21.7,13.1,14.5,10.2,34,67.3,331,55.7,19.1,1
47.8,29.7,11.4,6.85,11.9,18.1,29.7,259,21.5,5.19,0
3.28,7.57,6.04,4.07,11.5,30,86.6,1065,44.1,17.8,1
29.4,8.43,7.91,1.43,14.6,5.62,23.9,644,32.8,16.8,1
40.3,22.9,1.45,1.01,5.28,25,37.5,355,63.8,33.7,1
82,89,2.46,1.01,11.8,14.5,33.1,610,32.2,19.8,1
41.4,28.6,6.92,2.37,4.96,30.8,61.5,638,23.3,5.52,0
10.1,26.4,2.81,1,16.5,23.1,50.9,557,77.7,38.2,1
73,31.9,5,1,10.4,22.9,46.1,300,25.9,71,0
55.2,76.4,8.13,2.86,16.1,8.98,26.2,514,48.3,11.4,1
54.2,16.4,12.2,1.12,8.98,11.5,39.2,375,35.5,15.5,1
56.7,18.8,5.47,1.86,9.06,9.06,20.9,552,33.1,79.9,0
36.2,44.5,33.7,147,66.1,18.3,28.9,188,18.6,67.3,0
74.3,23.7,9.39,5.99,7.99,37.2,63.8,956,15.8,89.8,0
21.7,36.8,4.07,1,23.1,34.9,62.6,379,71.7,18.3,1
88.2,42.9,11.4,167,41.8,20.2,40,322,31.1,9.65,1
66.1,19.3,10.8,1,16.7,13.9,38.2,255,30.2,11.2,1
67.9,32.8,2.17,1.01,7.04,9.82,36.2,615,40.3,9.14,1
37.2,15.3,18.9,23.1,19.1,15.8,33.4,284,32.2,13.5,1
73,41.4,2.94,2.48,5.14,51.9,101,890,62.6,18.8,1
64.9,43.3,6.1,1,28.4,10,22.9,491,25.9,6.61,0
35.5,14.5,4.96,5.57,5.19,6.92,41.8,65.5,54.2,35.9,1
10.4,9.82,5.94,1,16.7,28.1,49.6,331,24.4,10.5,0
85.1,20.5,3.02,1.07,17,7.99,23.1,316,68.5,16,1
63.8,34.3,3.34,1,14.3,15,63.8,931,20,67.9,0
3.62,2.15,2.46,3.65,10.5,38.2,93.1,2054,16.4,9.56,1
39.6,20.4,4.91,1.01,8.43,13.6,26.2,136,12.6,62.1,0
43.7,12.5,3.62,2.69,6.73,6.1,28.1,583,49.1,15.8,1
61,28.9,10.3,1.01,20.7,111,184,491,37.2,7.1,0
23.3,27.4,9.06,1.01,6.92,25,77.7,478,109,26.2,1
64.4,15.1,3.49,2.19,1.96,28.4,90.6,1860,39.6,23.5,1
34,14.7,2.48,2.64,16.1,44.1,85.8,1114,19.5,25.7,0
72.3,50.9,2.92,2.84,13.7,31.6,62.6,474,30,4.78,1
63.8,21.7,7.77,1.58,21.5,14.5,28.1,382,33.1,19.6,1
76.4,18.6,6.44,1.47,21.3,47.4,119,2393,17.5,62.6,0
191,67.9,1,1.37,1.93,43.3,63.2,552,34.6,12,0
30,16,10.3,7.57,2.23,28.4,54.2,791,16.5,9.82,0
61.5,23.1,1.46,1.13,1.04,11.8,30.8,547,36.2,13.7,1
23.7,22.5,6.15,2.44,13.7,5.52,38.2,552,86.6,58.8,1
90.6,36.5,4.74,1.01,19.6,23.3,30,271,40.7,16.3,1
27.4,26.9,8.2,2.62,8.51,18.9,37.2,246,67.9,34.9,1
59.4,32.8,7.17,7.23,21.5,9.56,29.4,246,108,64.9,1
1,7.5,17.8,4.74,12.4,6.67,32.5,552,32.2,57.3,0
16.1,17.9,1.83,1.01,10.3,53.3,94.7,542,42.2,16.1,1
55.7,31.6,8.06,2.69,16.5,9.31,28.1,1009,31.1,13.7,0
34.6,15.4,1.24,4.14,16.5,18.1,30.8,241,21.3,12.6,0
57.3,33.4,4.87,1.01,10.5,10.4,47,1407,50.9,21.7,1
57.8,22.9,4.57,1.6,32.8,6.15,14.1,255,42.2,264,0
67.9,36.5,14.5,5.14,10.3,45.7,80.6,898,34.3,22.3,1
78.4,42.6,8.28,1.5,20.2,49.6,97.3,784,19.1,9.06,1
31.3,16.7,10.2,5.09,20.4,22.5,48.3,828,24.1,94.7,0
7.5,22.3,7.99,4.1,13.7,15.4,21.7,211,76.4,27.1,1
38.5,23.9,1.37,2.21,4.29,33.7,61,730,17.9,6.44,0
77.7,75,8.43,1.14,30.5,25,55.7,316,61,14.1,1
46.1,39.2,6.38,1.14,14.3,3.02,19.5,828,16.5,83.5,0
82,26.9,3.31,8.13,23.5,8.13,23.7,610,33.7,22.1,1
85.1,24.1,5.88,2.29,18.8,11.5,22.5,437,42.9,90.6,0
80.6,45.7,2.31,3.46,19.6,29.2,27.9,334,24.4,18.1,0
82.8,25.7,7.3,1.86,10.7,9.14,23.3,349,44.9,23.7,1
60.4,35.5,6.92,1.39,13.7,20.2,67.9,1512,40.3,11.2,1
129,62.1,8.13,1.01,24.1,120,217,679,39.6,13,1
66.1,28.1,11.5,3.82,8.35,2.81,11.5,319,40.3,22.1,1
52.8,27.1,3.31,3.89,2.64,21.9,44.5,426,33.7,4.14,0
37.5,26.9,15.4,1,1.63,13.2,55.2,1382,47.8,31.6,1
57.8,34.3,4.87,1.95,14.6,16.8,32.8,289,23.9,22.1,1
129,51.4,2.07,4.41,9.22,25.5,33.4,227,39.6,8.51,0
30.2,20.5,3.13,8.74,3.59,12.3,27.4,349,43.3,5,1
72.3,20.9,3.59,1.01,24.6,78.4,138,1486,45.3,15.1,1
58.8,34.9,3.49,368,39.6,17.8,27.9,331,51.9,98.2,1
71.7,27.6,4.91,3.96,8.35,21.3,34.3,274,63.2,13.3,1
54.7,19.8,3.19,1,23.7,16.3,176,113,53.3,78.4,0
25,25,15.3,2.29,32.2,20.9,41.8,227,20,82.8,0
21.7,11.8,2.84,2.29,9.91,21.5,37.5,267,63.8,67.9,1
59.4,31.1,6.61,1,1.53,16.4,23.7,379,8.13,2.55,0
41.4,24.4,2.41,1,12.7,67.3,135,626,29.2,13,1
47.8,25.9,7.17,1,16.5,23.1,40.7,379,30,4.07,0
21.1,18.8,4,3.85,3.11,55.7,85.8,433,109,52.8,1
45.3,19.8,16.4,4.78,8.35,6.44,17.5,610,24.8,10.9,0
66.7,30,1.54,7.99,25.3,30.8,50.5,289,18.4,4.1,0
38.5,22.9,7.17,4.61,22.9,103,229,594,64.9,4.96,1
122,33.7,1.29,4.87,11,3.92,20.7,269,38.5,14.1,1
37.5,23.9,7.1,4.41,5.67,10.3,19.6,292,42.2,18.8,1
81.3,24.6,1,5.42,11.2,6.49,18.6,466,42.2,25,1
30.8,20.5,8.06,1.47,28.9,29.7,47.4,655,31.3,7.7,0
30,19.6,2.76,2.37,1,20.7,36.5,835,42.9,24.4,1
20.4,45.7,2.89,1.31,6.61,20.5,40.3,250,46.6,94.7,0
11.1,41.8,4.26,7.77,9.22,19.1,27.6,209,85.8,3.16,0
176,93.9,7.04,3.92,13.7,28.6,41,250,23.5,15.7,0
53.8,23.1,1.05,1.39,29.4,4.26,24.4,449,27.9,5.23,0
44.5,23.7,6.79,3.4,12.5,31.9,57.3,221,65.5,38.9,1
61,53.3,8.74,1.01,19.1,5.88,37.5,1334,36.8,9.91,1
66.1,19.5,1.75,1,17,3.11,5.33,188,38.9,12.9,1
59.9,31.9,1,1.01,20.9,24.6,41.4,239,28.6,13.6,1
50.5,29.7,5.09,3.19,11.1,25.7,60.4,426,5.09,79.1,0
69.8,22.3,14.2,2.64,16.3,37.2,102,2738,57.8,37.5,1
106,30.2,1.01,5.14,10.6,14.9,30.8,457,34,114,0
6.1,35.9,11.7,2.84,4.61,150,229,784,32.8,88.2,1
9.73,17.5,4.18,5.62,4.66,22.3,36.5,322,62.1,79.1,1
47.8,34.3,11.4,6.98,25.7,49.6,98.2,538,31.9,8.28,1
103,69.8,33.1,7.77,42.9,16,44.5,1114,43.7,12.7,1
74.3,38.5,3.11,1.01,12.4,15.4,34,538,64.4,23.3,1
72.3,18.9,5.94,5.67,2.44,9.31,23.7,557,77.7,32.8,1
11.9,49.6,8.35,3.08,8.2,29.2,202,191,37.5,10.4,1
31.9,12.9,1.98,1.01,3.75,47.4,103,1928,109,55.2,1
48.3,19.1,3.08,1.96,8.13,13.8,44.9,1134,41.8,6.92,1
75,27.1,2.46,1.01,17.3,38.9,92.2,770,35.5,21.9,1
74.3,26.4,7.7,7.3,1.58,10.6,25.7,400,18.4,6.61,0
58.3,27.9,8.43,1.01,4.66,22.9,54.7,346,24.6,6.26,1
49.1,23.1,1.83,1.7,15,47,104,2072,73,38.5,1
79.1,23.5,5.23,4.66,15.3,15.8,32.5,379,57.8,29.2,1
104,64.9,11.9,1,23.5,54.7,112,704,36.8,12.3,1
42.9,39.2,10.9,3.31,12.3,36.2,76.4,487,31.3,11.1,1
87.4,39.2,1.01,4.07,5.09,62.1,111,365,32.8,20.2,1
53.8,18.9,5,1.54,17.2,22.3,38.9,189,78.4,20,1
48.7,30,9.31,1.67,2.25,20.2,36.8,437,67.3,2.57,0
40.3,22.9,3.46,6.26,14.1,29.4,209,1554,53.8,23.9,1
82,42.2,4,5.33,9.06,7.99,18.4,385,13,7.17,1
35.9,14.7,9.39,11.8,45.7,22.5,36.5,221,23.9,68.5,0
38.5,20.2,16.4,8.43,22.3,27.6,49.6,250,49.1,17.3,1
53.8,27.4,3.05,1.68,24.8,23.3,44.9,359,60.4,42.2,1
56.2,19.8,9.91,4.87,6.73,26.7,41,221,40,9.73,1
51.9,12.5,4.29,1.18,7.84,13.9,28.4,284,55.7,15.4,1
57.3,23.7,9.56,1.83,9.47,17.6,49.6,717,40.3,12.1,1
110,65.5,8.35,1.01,20.4,18.1,33.1,396,66.1,19.3,1
61,41,3.96,3.92,19.8,27.6,44.5,355,69.2,34.9,1
70.4,24.6,1,4.53,42.9,79.1,155,2227,12,33.4,0
62.6,23.1,3.34,3.31,14.3,14.5,27.6,355,30.2,3.4,1
113,73,1,1.31,11.5,8.74,31.1,487,79.9,43.7,1
91.4,25,4.33,1.46,18.3,7.43,17.3,433,34.6,175,0
2436,3685,16.4,40,11.2,1,41.8,105,23.7,77.7,0
114,160,11.8,32.2,13.6,3.82,38.2,119,44.9,15.8,0
557,947,7.7,18.6,36.5,5.19,64.9,138,20,12.4,0
638,914,11.9,59.4,18.9,2.46,44.1,107,17.9,7.37,0
316,461,4.91,73.7,24.6,4.7,30.5,2017,49.6,15.8,1
181,279,4.61,281,50.9,5.23,50.9,215,28.1,13,0
213,328,26.9,160,59.9,1.12,68.5,95.6,27.4,5.83,0
139,189,2.5,457,32.2,1.6,105,403,32.2,9.91,0
173,274,8.58,50,30.8,1.25,23.1,48.3,76.4,22.3,1
322,500,15.5,23.5,9.06,1.83,38.2,36.8,23.7,9.65,0
1999,2738,12,19.6,18.4,1,61,88.2,26.7,143,0
389,588,11.1,82,13.6,29.4,119,4105,31.6,7.84,0
122,181,19.5,9.65,2.07,1.54,45.7,96.5,23.7,4.1,0
509,723,10.7,55.2,19.1,3.75,82.8,137,33.1,11.9,0
227,334,21.7,35.5,14.1,3.92,120,269,55.2,17,0
99.1,112,11.5,70.4,24.6,3.4,93.1,346,38.9,271,0
175,231,11.2,110,42.6,12.3,141,3820,34.3,3.79,0
1472,2129,11,5.47,20,1,23.3,78.4,10.8,6.21,0
204,355,20.2,32.5,23.3,1.32,23.3,103,47.8,22.3,1
1165,1685,12.6,16.5,3.02,3.13,84.3,349,29.4,15.5,0
161,269,14.3,21.9,17.9,31.3,202,4332,29.7,12.6,0
274,410,14.2,235,75,2.17,63.8,126,52.3,20.5,1
248,389,10.2,82.8,33.4,11.9,69.8,1827,45.7,15.1,0
372,588,16.5,379,64.4,2.41,110,331,21.3,15.3,0
1046,1568,13.5,18.4,5.83,1,32.2,95.6,53.3,22.7,1
286,375,17.8,33.4,10.1,7.7,59.4,355,44.9,13.9,0
157,274,1.86,18.6,23.7,1,170,379,12.6,9.06,0
461,723,12.3,15.1,12.6,12,37.5,737,47.4,12.3,0
281,414,22.5,31.1,21.7,6.32,77,271,27.9,1.67,0
621,1065,16.4,36.2,20.7,6.49,59.4,1894,58.8,28.9,1
269,426,17.5,23.9,2.27,1.41,11,10.8,37.9,5.57,0
305,445,10.3,20,8.58,1,19.3,106,26.7,5.78,0
106,142,11,60.4,19.5,1.09,133,362,37.9,5.94,0
49.6,49.6,13.8,63.8,19.5,27.9,100,1472,35.2,9.65,0
95.6,136,13.1,25.3,11.4,2.86,42.2,223,129,75,1
359,470,9.31,168,31.1,1,13.6,87.4,18.8,8.06,0
181,271,25.9,135,48.3,6.92,121,385,111,50.5,1
196,322,11.4,30.2,30.8,3.92,115,487,59.4,8.13,0
59.4,72.3,10.6,21.7,5.05,37.9,158,3051,37.2,9.65,0
114,145,7.77,131,30,1,32.5,107,33.7,17.3,0
151,237,14.1,27.4,17.3,2.39,42.2,204,36.5,18.3,0
433,667,7.1,10.6,32.8,2,83.5,334,14.1,7.57,0
813,1208,14.2,72.3,27.6,3.34,75.7,233,11.5,5.33,0
173,244,22.1,18.9,17.6,1,48.3,98.2,18.6,13,0
274,433,8.13,146,31.6,2.11,64.4,322,107,349,0
122,231,7.77,141,6.73,1,43.3,113,30,30.2,0
1155,1700,5.57,155,13.9,4.22,52.8,1655,16,5.42,0
154,165,9.65,183,36.2,3.4,111,316,90.6,42.2,1
239,349,10,17,30.8,2.59,32.8,102,12,1.36,0
355,453,10.3,19.8,15.3,2.13,155,319,21.7,3.65,0
509,799,14.9,13.8,9.47,26.7,133,4217,54.7,28.9,0
1208,1731,12.5,17.9,15.5,32.2,184,4826,33.4,11.5,0
673,1055,19.8,22.3,8.82,1.24,26.4,33.7,40.7,1,0
62.6,69.2,14.7,28.6,23.7,1.22,66.7,73,35.2,11.4,0
124,176,15,25.9,31.6,1,31.1,124,29.7,12.6,0
770,1084,13.8,19.1,8.28,27.4,145,6321,37.5,164,0
100,126,18.4,32.5,7.84,10.8,111,189,45.7,11,0
403,610,6.32,106,12.5,16.1,186,1094,30.2,15.8,0
257,410,6.98,21.5,48.3,1,38.5,54.7,52.3,27.1,1
1286,1827,10,50.9,42.2,3.62,59.9,183,96.5,48.3,1
141,229,5.67,13.5,40.3,1.03,233,441,19.6,8.06,0
55.7,112,14.6,20.4,7.77,1.88,16.7,10.9,10.6,3.96,0
175,217,9.14,73.7,28.1,1.5,31.9,62.6,47.4,19.5,0
1230,1700,12.9,142,43.7,2.84,33.7,79.1,38.5,25.7,0
246,352,10.6,17,18.4,1,27.4,48.7,46.6,147,0
12.7,17.9,13.1,56.2,14.1,1.14,32.8,45.7,33.1,11.5,0
313,445,15.7,16.3,1.01,1.18,29.4,36.8,13.2,6.04,0
67.3,106,14.5,22.9,15.4,20.5,71.7,882,16.4,7.37,0
496,770,12.6,14.3,9.22,2.37,27.6,45.3,34.9,19.3,0
368,588,19.8,130,51.4,17.2,67.9,2458,44.9,8.58,1
204,244,18.4,27.6,25.9,1,42.2,82,5.62,3.75,0
137,183,7.99,4.03,10.1,1.24,12.2,85.1,21.3,76.4,0
305,552,4,183,24.6,2.62,28.1,155,47.8,11.7,0
207,331,1.1,11.7,6.26,8.98,44.9,284,41,8.98,0
215,337,44.1,109,87.4,3.89,25.5,1778,11.7,1,0
334,449,11.9,87.4,21.5,4.78,82,1794,82.8,56.7,1
120,215,16,22.7,4.78,2.79,66.1,279,30,23.5,0
